geolocation_city,geolocation_state,total_orders,avg_lat,avg_lng
sao paulo,SP,12792,-23.57212759777718,-46.63202562463854
rio de janeiro,RJ,6592,-22.92286156053014,-43.32303035393244
belo horizonte,MG,2697,-19.909155110700482,-43.95665568832626
são paulo,SP,2251,-23.570711725102356,-46.642678721388805
curitiba,PR,1489,-25.453306506787634,-49.27404793634108
brasilia,DF,1449,-15.807034023471171,-47.96990938235467
campinas,SP,1406,-22.90234842617691,-47.07524546801171
porto alegre,RS,1342,-30.049828306341638,-51.187044935870055
salvador,BA,1185,-12.959244564402104,-38.45769879533334
guarulhos,SP,1144,-23.444772386726292,-46.497816338429985
sao bernardo do campo,SP,808,-23.70501453838738,-46.56464328484327
osasco,SP,724,-23.536536727425123,-46.788358018286324
santos,SP,700,-23.963503403080825,-46.32744428002914
santo andre,SP,630,-23.660315260360893,-46.52012785832782
fortaleza,CE,618,-3.764137278013981,-38.5345631866882
sorocaba,SP,609,-23.488654960056376,-47.46521046005355
recife,PE,593,-8.067359094594224,-34.91317730810932
niteroi,RJ,567,-22.896774271635856,-43.0825969033079
goiania,GO,543,-16.685913692673363,-49.27656321911684
sao jose dos campos,SP,542,-23.20905367572184,-45.88503669721491
florianopolis,SC,442,-27.566852599351193,-48.515291208648534
ribeirao preto,SP,433,-21.177527887790426,-47.80546192049733
juiz de fora,MG,423,-21.754675064403276,-43.3616853701004
barueri,SP,419,-23.505701660244082,-46.86881747697529
contagem,MG,415,-19.918019684613313,-44.058362548231585
jundiai,SP,415,-23.188092712773344,-46.90216469657445
belem,PA,408,-1.4157136666501247,-48.468430135440904
brasília,DF,388,-15.82146966645162,-47.96350427053233
mogi das cruzes,SP,374,-23.52763734633057,-46.18963049571925
piracicaba,SP,356,-22.72487242760974,-47.646278002479896
sao goncalo,RJ,346,-22.829757472827932,-43.028407267061134
uberlandia,MG,338,-18.91498519241486,-48.27389135015181
vila velha,ES,326,-20.360691371558072,-40.30921914916623
nova iguacu,RJ,325,-22.74481199873557,-43.472279694236974
campo grande,MS,312,-20.47031348383407,-54.61234570538769
vitoria,ES,310,-20.28763514384125,-40.29834870200429
sao jose do rio preto,SP,304,-20.80820566962539,-49.3758772041608
sao luis,MA,299,-2.5322122506901916,-44.2537025575473
londrina,PR,298,-23.312524222149356,-51.16603462662946
praia grande,SP,296,-24.021275190656453,-46.46141096751801
carapicuiba,SP,290,-23.544074503963635,-46.8392163809856
serra,ES,278,-20.177600313781962,-40.248190505591126
diadema,SP,276,-23.688566887564882,-46.6122805140884
indaiatuba,SP,274,-23.09660433424954,-47.2149748203353
teresina,PI,269,-5.085270110837754,-42.783061464804824
bauru,SP,263,-22.323049645437326,-49.066619006487436
taboao da serra,SP,261,-23.61905835672722,-46.77764033751795
niterói,RJ,258,-22.893598405598603,-43.087658487818395
maua,SP,258,-23.668537277482077,-46.448479964791204
joinville,SC,257,-26.297318554294186,-48.84464217394802
duque de caxias,RJ,250,-22.706504638372245,-43.28856533522335
sao caetano do sul,SP,244,-23.626810590888404,-46.56515998728062
campos dos goytacazes,RJ,243,-21.685194098651767,-41.384032359779276
cotia,SP,242,-23.6124856633735,-46.910172327872566
taubate,SP,239,-23.02576026963117,-45.56502781774137
sao carlos,SP,231,-22.010522145002533,-47.89275193874205
suzano,SP,230,-23.549312258230586,-46.30869562010819
maringa,PR,229,-23.41550279790821,-51.93123253664197
cuiaba,MT,228,-15.598492441393084,-56.075434646903005
volta redonda,RJ,227,-22.50955393204522,-44.100260750914735
caxias do sul,RS,220,-29.16412351496567,-51.181568858415595
americana,SP,216,-22.740816291609143,-47.32636357923742
maceio,AL,215,-9.622737912810642,-35.73038595794543
aracaju,SE,213,-10.940529130478968,-37.0672779467405
montes claros,MG,207,-16.728367733929733,-43.861326724263144
canoas,RS,205,-29.917550969296663,-51.174119562303325
natal,RN,203,-5.816478055900028,-35.219244814191754
betim,MG,196,-19.95370593085974,-44.16679460532326
joao pessoa,PB,196,-7.136717221117136,-34.850523385017716
santa maria,RS,193,-29.694899181291458,-53.80463616921602
guaruja,SP,187,-23.978400763847056,-46.261132362621844
limeira,SP,186,-22.57044868560047,-47.40887887846256
uberaba,MG,186,-19.751422021269992,-47.93818275225115
macae,RJ,184,-22.373519721091785,-41.78250249196338
pelotas,RS,183,-31.75118040083165,-52.33377309049932
jacarei,SP,182,-23.298078342753552,-45.96308487630434
blumenau,SC,181,-26.898237321868162,-49.089442046089516
