geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
sao paulo,SP,566,-23.563564700732897,-46.61303756872995
são paulo,SP,129,-23.555710348428544,-46.628177097866356
curitiba,PR,126,-25.452942813817735,-49.277171676127686
rio de janeiro,RJ,96,-22.91088583169036,-43.318676623122684
belo horizonte,MG,70,-19.899088663543907,-43.951632790980874
ribeirao preto,SP,53,-21.17447264444589,-47.793191742371334
guarulhos,SP,51,-23.449556571923,-46.511563531578695
ibitinga,SP,49,-21.75732063771276,-48.82974353343716
campinas,SP,41,-22.896282631608294,-47.06242263618724
maringa,PR,40,-23.415147429003817,-51.93037769614675
santo andre,SP,36,-23.654488726563024,-46.52005735142669
sao bernardo do campo,SP,34,-23.709075014547395,-46.56100431965292
osasco,SP,33,-23.535139186485605,-46.78612291103593
sorocaba,SP,32,-23.495441487634633,-47.461652935414484
sao jose do rio preto,SP,30,-20.807522122050162,-49.371918392723664
porto alegre,RS,27,-30.0364379052427,-51.19012737717076
londrina,PR,26,-23.318387401162756,-51.16322022067756
joinville,SC,22,-26.290655585783828,-48.84705196902398
brasilia,DF,21,-15.809936866321488,-47.95571593104442
blumenau,SC,21,-26.88879084437416,-49.09618171033592
franca,SP,20,-20.532385695954183,-47.40122341514917
sao caetano do sul,SP,19,-23.62771244561546,-46.56016760593651
goiania,GO,19,-16.68682305659773,-49.28409331864867
caxias do sul,RS,18,-29.169406629050584,-51.176872108472104
mogi das cruzes,SP,17,-23.5237729738636,-46.18786325146222
limeira,SP,17,-22.582362346106287,-47.40722253743789
santos,SP,16,-23.952227178866877,-46.32838724375319
cascavel,PR,15,-24.95751649645955,-53.46469113966743
sao jose dos campos,SP,15,-23.210400486378045,-45.88478785510876
florianopolis,SC,14,-27.567325422652363,-48.519902216040535
bauru,SP,14,-22.33633053930573,-49.06642082196549
barueri,SP,13,-23.503188836487986,-46.87277925061465
piracicaba,SP,13,-22.71683623438175,-47.652495356020104
sao carlos,SP,13,-22.02168368819351,-47.89094909773959
sao jose dos pinhais,PR,12,-25.54675609072842,-49.173886769927606
marilia,SP,12,-22.195068899603807,-49.951117913091046
presidente prudente,SP,12,-22.11343256533034,-51.40122769687026
rio claro,SP,12,-22.39887146439375,-47.567237047042
taboao da serra,SP,11,-23.616100432065824,-46.77670689221364
atibaia,SP,11,-23.115403136853146,-46.560110045864555
araraquara,SP,11,-21.783884258118693,-48.17492346200813
jundiai,SP,11,-23.195221467852146,-46.89923308385169
santo andré,SP,11,-23.676758023859165,-46.52482522506209
contagem,MG,11,-19.917604522287466,-44.03831418933718
uberlandia,MG,11,-18.91203214822484,-48.27934987953134
carapicuiba,SP,11,-23.551036151667766,-46.83232673707866
diadema,SP,10,-23.687582233156014,-46.61041042637693
arapongas,PR,10,-23.41231732004682,-51.43324590162247
cotia,SP,10,-23.608636796759424,-46.89563782729503
americana,SP,10,-22.731711773644424,-47.31933696781867
porto ferreira,SP,10,-21.866032425983516,-47.4781017581213
praia grande,SP,10,-24.02903050554878,-46.478502601489886
catanduva,SP,10,-21.13188793431475,-48.97596386568503
birigui,SP,10,-21.28994678476456,-50.3411598155266
juiz de fora,MG,10,-21.75438759654552,-43.35457807305853
brusque,SC,10,-27.113232422275416,-48.930768451873675
jaragua do sul,SC,9,-26.483683362194782,-49.07853695620112
canoas,RS,9,-29.922017427978346,-51.16741663361184
salto,SP,9,-23.19445330433261,-47.29886001525402
santana de parnaiba,SP,9,-23.457214698139865,-46.911859136254286
pinhais,PR,9,-25.436008720093113,-49.1849186770991
itaquaquecetuba,SP,9,-23.475953098806766,-46.345740673444865
pedreira,SP,9,-22.74032548616481,-46.896753691339335
toledo,PR,8,-24.717944981834965,-53.74213088075521
assis,SP,8,-22.662323595751275,-50.42150961911897
maua,SP,8,-23.663626153583735,-46.44648321448302
apucarana,PR,8,-23.555019820161206,-51.46491994887163
jacarei,SP,8,-23.295363266687197,-45.977131149318005
indaiatuba,SP,8,-23.104976318690433,-47.21904175757124
colombo,PR,8,-25.358443634148337,-49.19004235095805
divinopolis,MG,8,-20.15123441709384,-44.892997827923956
valinhos,SP,7,-22.961508281144408,-46.99765697456187
salvador,BA,7,-12.969485918543848,-38.475450765778305
sao roque,SP,7,-23.53202082700508,-47.13969574563589
sao goncalo,RJ,7,-22.83022122133389,-43.01706276589847
santa rita do sapucai,MG,7,-22.247210939506797,-45.70752067761215
fortaleza,CE,7,-3.749608400093274,-38.560599016996726
novo hamburgo,RS,7,-29.68891448329919,-51.13124336670857
niteroi,RJ,7,-22.90742812359267,-43.08912492891058
claudio,MG,6,-20.437204870235007,-44.76203405975948
uba,MG,6,-21.11826771003017,-42.93926571217461
itajai,SC,6,-26.9336715011835,-48.681971384245344
brasília,DF,6,-15.829099631630086,-47.97389505525311
mauá,SP,6,-23.674506940969994,-46.454517729765165
guaruja,SP,6,-23.97171824376819,-46.24826251014044
fazenda rio grande,PR,6,-25.659131070453842,-49.3131095258751
ponta grossa,PR,6,-25.09170669490726,-50.15003371667976
florianópolis,SC,6,-27.565095984953548,-48.48718455646702
betim,MG,5,-19.947504246799333,-44.17495073848592
palhoça,SC,5,-27.669487506773514,-48.67859398556579
nova friburgo,RJ,5,-22.266862499678155,-42.529313684524965
lajeado,RS,5,-29.445868157077097,-51.97643812433586
penapolis,SP,5,-21.427475736233188,-50.07670284862172
recife,PE,5,-8.07101615585475,-34.909199128289366
foz do iguacu,PR,5,-25.53496182201166,-54.57771220172018
tupa,SP,5,-21.934331289871345,-50.5159190490879
tubarao,SC,5,-28.476512929320297,-49.008558639532794
são josé do rio preto,SP,5,-20.840575002802826,-49.359459304310036
sumare,SP,5,-22.81912153370497,-47.228587442746495
amparo,SP,5,-22.7078025316318,-46.790301524260144
vila velha,ES,5,-20.35533348438494,-40.301818740803284
votuporanga,SP,4,-20.41894027939403,-49.977107331242976
votorantim,SP,4,-23.541231342074447,-47.45310153458825
taubate,SP,4,-23.01590051065752,-45.5626868449809
umuarama,PR,4,-23.760218155689586,-53.29507335785261
borda da mata,MG,4,-22.26258413023529,-46.1711239405763
botucatu,SP,4,-22.870700534646602,-48.446184549333225
varginha,MG,4,-21.571500571474367,-45.4341367294349
aracatuba,SP,4,-21.213730274047716,-50.457667759532384
santa barbara d'oeste,SP,4,-22.752973258467055,-47.376025887845955
balneario camboriu,SC,4,-26.992704286772554,-48.63215150489717
araguari,MG,4,-18.646261201640765,-48.19505919743724
rio do sul,SC,4,-27.221026823562063,-49.6482295308623
barretos,SP,4,-20.557429257625955,-48.56514533007081
araras,SP,4,-22.352894660557094,-47.38892768075934
laranjal paulista,SP,4,-23.04955173261455,-47.83762131131264
itapecerica da serra,SP,4,-23.706965235898416,-46.85750771168049
sete lagoas,MG,4,-19.458623377632982,-44.24396110066067
braganca paulista,SP,4,-22.941388281745567,-46.53578371816013
mogi-guacu,SP,4,-22.370389615640075,-46.940606985841356
mirassol,SP,4,-20.815690325332216,-49.508812334032896
pocos de caldas,MG,4,-21.811624567679097,-46.55837798327083
nova iguacu,RJ,4,-22.739538181771564,-43.44963082082958
mogi guaçu,SP,4,-22.35895502277493,-46.94070593964753
petropolis,RJ,4,-22.396993678683113,-43.133169379150466
palhoca,SC,4,-27.672134914971107,-48.6760154918302
sao jose,SC,4,-27.569732716223715,-48.636982522216385
capivari,SP,4,-22.997483794858958,-47.505725105505064
goiânia,GO,4,-16.666886003709116,-49.28316613209651
fernandopolis,SP,4,-20.289417165255067,-50.251040967287835
ferraz de vasconcelos,SP,4,-23.5434023518452,-46.36770082145348
formiga,MG,4,-20.46253562176835,-45.433058998165116
francisco beltrao,PR,4,-26.062466899618833,-53.058632863322224
garca,SP,4,-22.211471483564306,-49.65862497197638
ribeirao pires,SP,4,-23.695076926784598,-46.3934826396104
cachoeiro de itapemirim,ES,4,-20.846398736833773,-41.13726150951129
campo grande,MS,4,-20.45366551179175,-54.667156703814676
jaci,SP,4,-20.884709308834225,-49.57192076295022
itu,SP,4,-23.26811303893075,-47.310976496127445
itatiba,SP,4,-22.997545208801142,-46.83808631340862
itajaí,SC,4,-26.91187688025883,-48.65639411001171
itapevi,SP,4,-23.542859442354082,-46.93740838287348
